lambda,kappa
3.204043759548050401e-06,1.667393100119383931e+01
3.211049091481825516e-06,1.660856077393908237e+01
3.218794670834791136e-06,1.647961266987937989e+01
3.225864725298263749e-06,1.641500426858376827e+01
3.233321316155775136e-06,1.635061151612069352e+01
3.241526810992406524e-06,1.628635886087392848e+01
3.249059234898535176e-06,1.619119860595211335e+01
3.256984195484191835e-06,1.612760952742650744e+01
3.262775806517394860e-06,1.603363526528258021e+01
3.270044884636086810e-06,1.590922412101773098e+01
3.275155651772350641e-06,1.578610546695343864e+01
3.281012126620819834e-06,1.569408498404122021e+01
3.288730474396082520e-06,1.557227268451145719e+01
3.295007996984408985e-06,1.545161932231747315e+01
3.301679035856894478e-06,1.533183017182434327e+01
3.306509823475360157e-06,1.530160546610431460e+01
3.312474680271662628e-06,1.527126452651154054e+01
3.322207261215522569e-06,1.529949161720847961e+01
3.328977920553941939e-06,1.532815911565907818e+01
3.336151269105304483e-06,1.541622357205041105e+01
3.344498383771155817e-06,1.547476277157389468e+01
3.350595601874189436e-06,1.550386578176181729e+01
3.358241409870342086e-06,1.565323120473490626e+01
3.364769250854314895e-06,1.574327203926847574e+01
3.372862153484790588e-06,1.595640313020350121e+01
3.379830792151221763e-06,1.611023961764342971e+01
3.386437183622106081e-06,1.629705007570697717e+01
3.393843296752227461e-06,1.661376258530004435e+01
3.400889740773980979e-06,1.690398115960505976e+01
3.407561378699333771e-06,1.733269121289406201e+01
3.414662629624861671e-06,1.766957078082210231e+01
3.419805392554331324e-06,1.797852258532937952e+01
3.426542132419406333e-06,1.857740289907138731e+01
3.432912984581414716e-06,1.904864113361509226e+01
3.438496304304171992e-06,1.964536037816052882e+01
3.444100187496814178e-06,2.022176224890050733e+01
3.449727126584286839e-06,2.073480712904681056e+01
3.456178593190153180e-06,2.138424886510859224e+01
3.461019574834511307e-06,2.209693305794487728e+01
3.465887350342984171e-06,2.261403187594881459e+01
3.471583354452132110e-06,2.323255639311789267e+01
3.475241338134726962e-06,2.386843806558695746e+01
3.479735066890947210e-06,2.447428426540570712e+01
3.483824082212674205e-06,2.514403658987338019e+01
3.488333964721781003e-06,2.588200996019584466e+01
3.492021255234976579e-06,2.674483974822742383e+01
3.495712683179714343e-06,2.768987530471769887e+01
3.499001734805059945e-06,2.855794810047541432e+01
3.502715304904362228e-06,2.939625459091586279e+01
3.506430618432674916e-06,3.043497854954035375e+01
3.510575256903897157e-06,3.144951845112219857e+01
3.514725998990570795e-06,3.256072002440659219e+01
3.518890282760428907e-06,3.364612081203075178e+01
3.521797638212068256e-06,3.476802329827022930e+01
3.525978705909399070e-06,3.592708653249582085e+01
3.530167220491067549e-06,3.719640776399100446e+01
3.531821713639895378e-06,3.836295037335015223e+01
3.537294938590791562e-06,3.987172267973429740e+01
3.540657726741950892e-06,4.128069495780951570e+01
3.544028170771123744e-06,4.265706787724213456e+01
3.549105962462526005e-06,4.450635216043701803e+01
3.557594610671076433e-06,4.798406094309476089e+01
3.569564748691933288e-06,5.263904481556159709e+01
3.575604366528052275e-06,5.418336837735878220e+01
3.581672153788406030e-06,5.545095114986911256e+01
3.586008256425409527e-06,5.685844785904505017e+01
3.590786759332903355e-06,5.852723402422039101e+01
3.597775854966459896e-06,6.036038483363093121e+01
3.602144572792858098e-06,6.213209534175446436e+01
3.607415113914954454e-06,6.370888436175274450e+01
3.611804677937182883e-06,6.570569297363525152e+01
3.616201014489032640e-06,6.789597042608464506e+01
3.621499684748452806e-06,7.029428211040330154e+01
3.625928872328868590e-06,7.221809030483440495e+01
3.629474234362410737e-06,7.405186487660847661e+01
3.635258517774233353e-06,7.681570132438200460e+01
3.640169267870956022e-06,7.907004755595251311e+01
3.643734580170723747e-06,8.154887985430153208e+01
3.649122294860028668e-06,8.394193960116943742e+01
3.658122146893358283e-06,8.894202232005910957e+01
3.662638740755499829e-06,9.155266696708277152e+01
3.667623794222832306e-06,9.423950580613613681e+01
3.672169289942001488e-06,9.663178455932784061e+01
3.677177633787673506e-06,9.966002688650711150e+01
3.682194234272980216e-06,1.031808259438540034e+02
3.687699089654602994e-06,1.060039381428405534e+02
3.690903104935328012e-06,1.086958592429735972e+02
3.694580825790538776e-06,1.112407734949677121e+02
3.700110485299091327e-06,1.151704330972104060e+02
3.705202252170136972e-06,1.183218632476488068e+02
3.711700355914947295e-06,1.225008211833046090e+02
3.719619542434721327e-06,1.280566097915028649e+02
3.723346424619362611e-06,1.318159609388743831e+02
3.728512118596513722e-06,1.343810406643520707e+02
3.733682407747242046e-06,1.380581342708289583e+02
3.739346601532234729e-06,1.412888856995484730e+02
3.745509134547677384e-06,1.443155071854113487e+02
3.751207888940238758e-06,1.479779477629225823e+02
3.757902399007312403e-06,1.499847142426245910e+02
3.764608091121586228e-06,1.531972607692455028e+02
3.773283043016935944e-06,1.555729188516006616e+02
3.782010940601249229e-06,1.567700150375277417e+02
3.793219468471328788e-06,1.585845959452435920e+02
3.803510640321016317e-06,1.604212884035580089e+02
3.812879143169798973e-06,1.610319307161490201e+02
3.824286283011717289e-06,1.613310647261088207e+02
3.832764231724326162e-06,1.613221494883360094e+02
3.842781066771395028e-06,1.619354751790845057e+02
3.851839754221809250e-06,1.625526298119618502e+02
3.861962641690581666e-06,1.625417757277517126e+02
3.871621671324872567e-06,1.631604896578714659e+02
3.881329137875290529e-06,1.637815587174686414e+02
3.890570696143705142e-06,1.644057489860344390e+02
3.902967543312207288e-06,1.647103917026318811e+02
3.913350591209440443e-06,1.656563164058143229e+02
3.928513623299542750e-06,1.662815254399017988e+02
3.941682026087628642e-06,1.665892603709148148e+02
3.962891484142490233e-06,1.714620453231688373e+02
3.970896505333112531e-06,1.741225424973989675e+02
3.978932348998522416e-06,1.768243213745315927e+02
3.986458796759168423e-06,1.799156739515227343e+02
3.997799611094053310e-06,1.848327818635073925e+02
4.007564679088247128e-06,1.898860235843797284e+02
4.014094287863546232e-06,1.939545624086549367e+02
4.022835221853327690e-06,1.996434195597537951e+02
4.030510968027972173e-06,2.051044107837547301e+02
4.039870287844798010e-06,2.119366181187598954e+02
4.048165067978811862e-06,2.181539093433280527e+02
4.053696890490189173e-06,2.245572080405962936e+02
4.065948051008131761e-06,2.356454182429677360e+02
4.074909883367929199e-06,2.434960945900695606e+02
4.081091283809291296e-06,2.491948140189395531e+02
4.088994512160465036e-06,2.555171177785132102e+02
4.095213718965958261e-06,2.625088805709709163e+02
4.107152318261590322e-06,2.738810599713014540e+02
4.115734452813104485e-06,2.808290300734822154e+02
4.122043824745535774e-06,2.868467938234505255e+02
4.130684958441178771e-06,2.946917650692035409e+02
4.135295282827317901e-06,3.010100528543189284e+02
4.145732445206890155e-06,3.110362448303736187e+02
4.153305137929186680e-06,3.183134575748189263e+02
4.161502935108020464e-06,3.245039592760293772e+02
4.169140356611589859e-06,3.308163761803551211e+02
4.178579099248775052e-06,3.385532599487170273e+02
4.189264256275727647e-06,3.451334080937039062e+02
4.200609340390917206e-06,3.504838412514734500e+02
4.210208998984918658e-06,3.559213172100172642e+02
4.220459945724885231e-06,3.607439032197013944e+02
4.230145284339790552e-06,3.670489617958709232e+02
4.239871582769500940e-06,3.741846778533835618e+02
4.247792422278141955e-06,3.829393537206150882e+02
4.255730234367319180e-06,3.941758383757074284e+02
4.261840671938848193e-06,4.065303744274664837e+02
4.269213166936481573e-06,4.184600474856327423e+02
4.274117993010962114e-06,4.315777037642087066e+02
4.280893388202971231e-06,4.476885633084611413e+02
4.285200673804954332e-06,4.617245854010463972e+02
4.292014963680969505e-06,4.780364361582728634e+02
4.298832480086733114e-06,4.997260624511085894e+02
4.306320645190184302e-06,5.173792417495316158e+02
4.311935783202768735e-06,5.356609657847520793e+02
4.319482767855445423e-06,5.513799885043541735e+02
4.325149141955286890e-06,5.664714155226905632e+02
4.331458822336986841e-06,5.842248153695037445e+02
4.335881675523428225e-06,5.990609350011657170e+02
4.343492037293222288e-06,6.226227710549547965e+02
4.348569125072240777e-06,6.421418871081788211e+02
4.356224129473951856e-06,6.673981523448433109e+02
4.363915654238234880e-06,6.909728766888141536e+02
4.370344763387350036e-06,7.112544555725827422e+02
4.378088193959814862e-06,7.349605019942222270e+02
4.383917161501315989e-06,7.521647907548361900e+02
4.393038088958142714e-06,7.712496855979547945e+02
4.403507481779386980e-06,7.938711142187070209e+02
4.413389871799851688e-06,8.077482020431899628e+02
4.421335597057158399e-06,8.155507660648801220e+02
4.433307974811717491e-06,8.281976617028594774e+02
4.444003994270790523e-06,8.394232616897713797e+02
4.455460322566416660e-06,8.377568739723249109e+02
4.467668377485810213e-06,8.312621382323640091e+02
4.477899327867310634e-06,8.232353293299192956e+02
4.488874324985523631e-06,8.105746174402298720e+02
4.498530779847302465e-06,7.965737670072295487e+02
4.510304919164060532e-06,7.828075397668947062e+02
4.517301490573973284e-06,7.745545330921282812e+02
4.524262488661067195e-06,7.568398657416435071e+02
4.531232653874996568e-06,7.438185414791735184e+02
4.541016733646663752e-06,7.282106061475035403e+02
4.550134979754174211e-06,7.156834922209793604e+02
4.562793159460495419e-06,7.060882752500912147e+02
4.570559381621597515e-06,7.020159830810313224e+02
4.581198304040387440e-06,6.939417228769591475e+02
4.592580685901924921e-06,6.912704622110247783e+02
4.606876777102716964e-06,6.912704622110247783e+02
4.617642998013952291e-06,6.952804211831972907e+02
4.628433950858991500e-06,7.060882752500912147e+02
4.639992279052848174e-06,7.198350676140433961e+02
4.650150571875518155e-06,7.324348494985248408e+02
4.658868342244195491e-06,7.510243187084009833e+02
4.668333572974456423e-06,7.760487433512272446e+02
4.685877514910462014e-06,8.350413853211059632e+02
4.693213988030427690e-06,8.645298640456207977e+02
4.700573469963335383e-06,8.950617537605971847e+02
4.707224742679559899e-06,9.213253058446919113e+02
4.715384129337328454e-06,9.520242261237183357e+02
4.720554948439738647e-06,9.856438126864568403e+02
4.726507720514036798e-06,1.014565289335519878e+03
4.733978795562179327e-06,1.048371002407324795e+03
4.739947519301066250e-06,1.085392959095134529e+03
4.744406937271823796e-06,1.125892691476894470e+03
4.750377179948087990e-06,1.176944544081656886e+03
4.754849470975448092e-06,1.223215568694549347e+03
4.759327925784943611e-06,1.273758220952539887e+03
4.763034281462937513e-06,1.331514805964982770e+03
4.767537266646929846e-06,1.381195007916010354e+03
4.771267806967864589e-06,1.438268602901609938e+03
4.776546012706567322e-06,1.497697138403020290e+03
4.777990663806243593e-06,1.550586505298986822e+03
4.781765025979330363e-06,1.599167665697290886e+03
4.786292059541472923e-06,1.665244469572359776e+03
4.789283499242095994e-06,1.730712777510511842e+03
4.793048162944465140e-06,1.802224959263995061e+03
4.796041155788366398e-06,1.876691988410757858e+03
4.799033282735525666e-06,1.958010425993478748e+03
4.801277523923565740e-06,2.023252100776271163e+03
4.804299271331929662e-06,2.094700806884566191e+03
4.808087587969971883e-06,2.181252790996318708e+03
4.810344935404283295e-06,2.249593248846625556e+03
4.813382744311664529e-06,2.324550577564806190e+03
4.815628834444459669e-06,2.411281976736220258e+03
4.819462919052300935e-06,2.486829439633025231e+03
4.821730962841812908e-06,2.564737961624908621e+03
4.824776190694453705e-06,2.655314701479453561e+03
4.827804290469672850e-06,2.770365052156987076e+03
4.830859530681996343e-06,2.868197150464613060e+03
4.833899946972117707e-06,2.986716491735228374e+03
4.836176924762145109e-06,3.086235055801772432e+03
4.840048497285943381e-06,3.176793606417140381e+03
4.842324238157128251e-06,3.288978238606338437e+03
4.845397889538495779e-06,3.405124535687458774e+03
4.847690414855650170e-06,3.511809909692138717e+03
4.849973349396444384e-06,3.635825238305671974e+03
4.853049656404084353e-06,3.771481658563623114e+03
4.856120435671701031e-06,3.927326427363689163e+03
4.860002760481567780e-06,4.073859060095200675e+03
4.862285488119977872e-06,4.234020924804131027e+03
4.864579826782042080e-06,4.392006761100963558e+03
